TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA0Pk,RA1Pk,BTBeac,BTCent,BTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA0Pk,BA1Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-il-wn2-Q-1,1,1,1,12036,10609,0,10635,7738,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,4,0,0,0,0,1,0,0,1,true,0,0,0,1,0,3,0,0,0,0,0,1,
1617velv-il-wn2-Q-2,1,1,2,12038,8770,0,10482,11382,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,4,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-il-wn2-Q-3,1,1,3,9411,10371,0,5037,12037,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,1,0,1,1,0,0,0,0,0,0,0,true,0,0,1,0,1,0,0,0,0,0,0,0,
1617velv-il-wn2-Q-4,1,1,4,10836,10609,0,10301,12038,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,1,0,0,0,1,2,0,0,0,0,0,0,1,true,0,0,0,1,3,0,0,0,0,0,0,0,
1617velv-il-wn2-Q-5,1,1,5,10371,5037,0,12036,8770,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,6,0,0,0,0,0,0,0,true,0,0,0,0,4,0,0,0,0,0,0,0,
1617velv-il-wn2-Q-6,1,1,6,10635,9411,0,10836,11382,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,1,2,0,0,2,0,0,0,0,0,false,1,0,0,0,1,1,0,0,0,0,0,0,
1617velv-il-wn2-Q-7,1,1,7,10482,10301,0,7738,12037,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,1,2,0,0,0,0,0,0,0,
1617velv-il-wn2-Q-8,1,1,8,10609,11382,0,5037,10836,0,0,0,0,false,false,false,0,0,0,false,false,false,1,0,0,1,0,0,1,1,false,0,0,0,0,1,0,0,0,0,0,0,0,0,true,2,0,1,0,3,3,0,1,0,0,0,0,
1617velv-il-wn2-Q-9,1,1,9,10635,10371,0,12038,10482,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,0,0,3,0,0,0,0,0,true,0,0,1,0,3,0,0,0,0,0,0,0,
1617velv-il-wn2-Q-10,1,1,10,12036,9411,0,8770,10301,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,1,1,3,0,0,0,0,0,0,0,0,true,0,0,0,0,1,0,2,1,0,0,0,0,
1617velv-il-wn2-Q-11,1,1,11,7738,11382,0,12037,10371,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,1,0,2,1,0,0,1,0,0,true,0,0,1,1,3,0,0,0,1,0,0,0,
1617velv-il-wn2-Q-12,1,1,12,10482,12036,0,9411,10609,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,1,0,0,0,0,0,true,0,0,1,0,4,0,0,0,0,0,0,0,
1617velv-il-wn2-Q-13,1,1,13,12037,10301,0,5037,10635,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,3,0,2,0,0,1,0,0,2,true,2,0,1,0,1,11,0,3,0,0,0,1,
1617velv-il-wn2-Q-14,1,1,14,12038,10836,0,7738,8770,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,4,0,0,0,0,0,0,0,0,true,0,0,1,0,0,2,0,0,0,0,0,0,
1617velv-il-wn2-Q-15,1,1,15,10609,10301,0,10371,11382,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,4,0,0,1,0,0,0,0,0,false,0,0,0,0,0,0,2,1,0,0,0,0,
1617velv-il-wn2-Q-16,1,1,16,12038,7738,0,5037,9411,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,0,1,0,0,0,0,0,0,0,true,1,0,1,0,4,5,0,0,0,0,0,0,
1617velv-il-wn2-Q-17,1,1,17,12037,10482,0,10836,12036,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,3,0,0,0,0,0,0,1,0,true,1,0,0,0,1,1,0,0,0,1,0,0,
1617velv-il-wn2-Q-18,1,1,18,8770,5037,0,10635,10609,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,0,2,4,0,0,0,0,0,0,2,true,0,0,0,0,2,0,0,0,0,0,0,0,
