TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-cala-c1m3-Q-1,1,1,1,10318,11513,0,10789,5197,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,1,0,1,0,0,0,0,0,0,0,0,true,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-cala-c1m3-Q-2,1,1,2,8564,5921,0,11688,8998,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,3,0,0,0,2,3,0,3,0,0,0,0,0,true,0,0,0,1,2,1,0,0,0,0,0,0,
1617velv-cala-c1m3-Q-3,1,1,3,7992,5197,0,9881,10318,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,3,0,0,0,0,0,0,0,1,true,2,0,0,1,1,1,0,0,0,0,0,0,
1617velv-cala-c1m3-Q-4,1,1,4,9881,10789,0,11688,5921,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,1,0,0,1,0,0,0,0,0,0,0,0,0,true,2,0,0,0,4,0,0,0,0,0,0,0,
1617velv-cala-c1m3-Q-5,1,1,5,11513,7992,0,8564,8998,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,3,0,0,0,0,0,0,0,0,false,2,0,0,0,1,3,0,1,0,0,0,0,
1617velv-cala-c1m3-Q-6,1,1,6,8564,9881,0,5921,10789,0,0,0,0,false,false,false,0,0,0,false,false,false,1,0,0,1,0,0,1,1,true,2,0,0,1,2,1,1,3,0,0,0,0,0,true,2,0,0,0,2,1,0,2,0,0,0,0,
1617velv-cala-c1m3-Q-7,1,1,7,7992,11688,0,5197,11513,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,0,1,0,0,0,0,0,0,true,0,0,0,1,2,0,0,0,0,0,0,0,
1617velv-cala-c1m3-Q-8,1,1,8,8998,5921,0,10318,5197,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,2,0,0,0,1,6,0,3,0,0,0,0,0,true,0,0,0,0,3,6,0,2,0,0,0,0,
1617velv-cala-c1m3-Q-9,1,1,9,8564,10318,0,9881,11513,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,3,0,2,1,0,0,0,0,0,0,2,true,1,0,0,0,2,0,0,3,0,0,0,0,
1617velv-cala-c1m3-Q-10,1,1,10,11688,10789,0,7992,8998,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,1,0,1,0,0,0,0,0,0,true,0,0,0,1,3,4,0,0,0,0,0,0,
1617velv-cala-c1m3-Q-11,1,1,11,11513,8998,0,5921,9881,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,1,0,0,0,1,4,0,0,0,0,0,0,1,false,2,0,0,0,3,1,0,3,0,0,0,0,
1617velv-cala-c1m3-Q-12,1,1,12,11688,8564,0,10318,10789,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,1,0,0,1,0,2,0,0,0,0,0,0,0,true,1,0,1,0,4,4,0,0,0,0,0,0,
1617velv-cala-c1m3-Q-13,1,1,13,5197,5921,0,7992,8564,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,1,0,0,0,0,0,0,0,true,2,0,0,1,3,3,0,0,0,0,0,0,
