TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-cala-f3m3-Q-1,1,1,1,9431,12054,0,7831,3600,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,3,0,0,0,0,0,0,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-cala-f3m3-Q-2,1,1,2,9432,7834,0,6179,7195,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,3,0,6,0,0,0,0,0,0,true,0,0,0,1,1,0,0,1,0,0,0,0,
1617velv-cala-f3m3-Q-3,1,1,3,12386,9431,0,7645,7834,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,1,0,0,0,0,0,0,0,0,false,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-cala-f3m3-Q-4,1,1,4,7831,12386,0,12054,9432,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,1,3,0,0,0,0,0,0,0,false,0,0,0,0,3,0,6,0,0,0,0,0,
1617velv-cala-f3m3-Q-5,1,1,5,7195,3600,0,6179,7645,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,1,0,0,0,0,0,0,0,0,true,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-cala-f3m3-Q-6,1,1,6,9432,3600,0,9431,7834,0,0,0,0,false,false,false,0,0,0,false,false,false,1,0,0,1,0,0,1,0,false,0,0,0,0,4,0,2,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-cala-f3m3-Q-7,1,1,7,7831,6179,0,7645,12386,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,3,2,0,0,0,0,0,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-cala-f3m3-Q-8,1,1,8,12054,6179,0,7195,9431,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,1,0,0,3,0,0,0,0,0,true,0,0,1,0,3,0,0,0,0,0,0,0,
1617velv-cala-f3m3-Q-9,1,1,9,9432,7645,0,12054,7834,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,2,1,0,3,0,2,0,0,0,0,0,0,true,0,0,0,1,1,0,3,0,0,0,0,0,
1617velv-cala-f3m3-Q-10,1,1,10,7195,7831,0,3600,12386,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,1,0,3,2,0,0,0,0,0,0,0,true,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-cala-f3m3-Q-11,1,1,11,7645,7195,0,9431,9432,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,1,2,0,0,0,0,0,0,0,0,true,0,2,0,1,2,0,3,1,0,0,0,0,
1617velv-cala-f3m3-Q-12,1,1,12,7834,6179,0,7831,12054,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,0,0,0,3,0,0,0,0,0,true,0,0,0,0,4,2,0,0,0,0,0,0,
1617velv-cala-f3m3-Q-13,1,1,13,12386,9432,0,3600,9431,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,2,0,1,1,0,3,1,0,0,0,0,0,true,0,0,0,0,3,0,0,0,0,0,0,0,
