TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-flsc1-Q-1,Q-1,10-60 B,9013,10347,0,6323,4227,0,10,0,0,0,10,0,60,0,0,60,0,0,
1617velv-flsc1-Q-2,Q-2,10-75 B,7592,10179,0,11355,8996,0,10,0,0,0,10,0,75,5,0,70,0,0,
1617velv-flsc1-Q-3,Q-3,5-24 B,7341,9800,0,10379,11681,0,5,5,0,0,0,0,24,0,0,24,0,0,
1617velv-flsc1-Q-4,Q-4,5-45 B,8392,8945,0,12090,4717,0,5,0,0,5,0,0,45,20,0,15,10,0,
1617velv-flsc1-Q-5,Q-5,55-160 B,6323,9800,0,7477,10179,0,55,0,0,55,0,0,160,90,0,70,0,0,
1617velv-flsc1-Q-6,Q-6,16-65 B,11681,8945,0,10347,8996,0,16,5,0,11,0,0,65,15,0,40,10,0,
1617velv-flsc1-Q-7,Q-7,15-20 B,4717,10379,0,9013,7592,0,15,5,0,10,0,0,20,0,0,20,0,0,
1617velv-flsc1-Q-8,Q-8,75-80 B,7341,11355,0,7477,12090,0,75,35,0,40,0,0,80,60,0,20,0,0,
1617velv-flsc1-Q-9,Q-9,30-40 B,4227,9800,0,8392,4717,0,30,5,0,25,0,0,40,5,0,35,0,0,
1617velv-flsc1-Q-10,Q-10,80-45 R,10379,8996,0,12090,6323,0,80,25,0,55,0,0,45,5,0,40,0,0,
1617velv-flsc1-Q-11,Q-11,101-5 R,10179,11355,0,8945,9013,0,101,60,0,41,0,0,5,0,0,5,0,0,
1617velv-flsc1-Q-12,Q-12,26-75 B,7341,11681,0,7592,4227,0,26,5,0,21,0,0,75,25,0,50,0,0,
1617velv-flsc1-Q-13,Q-13,140-0 R,8392,7477,0,10347,10379,0,140,90,0,50,0,0,0,0,0,0,0,0,
1617velv-flsc1-Q-14,Q-14,75-10 R,8996,12090,0,9013,9800,0,75,15,0,60,0,0,10,0,0,10,0,0,
1617velv-flsc1-Q-15,Q-15,80-25 R,4717,10347,0,10179,7341,0,80,0,0,40,0,40,25,5,0,20,0,0,
1617velv-flsc1-Q-16,Q-16,65-125 B,4227,8945,0,7477,7592,0,65,55,0,10,0,0,125,60,0,65,0,0,
1617velv-flsc1-Q-17,Q-17,20-60 B,11681,8392,0,6323,11355,0,20,10,0,10,0,0,60,0,0,60,0,0,
1617velv-flsc1-Q-18,Q-18,45-30 R,10347,7592,0,9800,12090,0,45,0,0,45,0,0,30,15,0,15,0,0,
1617velv-flsc1-Q-19,Q-19,50-5 R,10179,9013,0,7341,8392,0,50,35,0,15,0,0,5,5,0,0,0,0,
1617velv-flsc1-Q-20,Q-20,90-50 R,10379,6323,0,8945,11355,0,90,30,0,60,0,0,50,30,0,20,0,0,
1617velv-flsc1-Q-21,Q-21,285-45 R,7477,4717,0,11681,8996,0,285,115,0,60,0,110,45,25,0,20,0,0,
1617velv-flsc1-Q-22,Q-22,80-40 R,4227,12090,0,10379,10179,0,80,40,0,40,0,0,40,15,0,25,0,0,
