TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-ak-lcmpsc,11168,The Quantum Mechanics,1,10,249,155,5,WC,1.00,100.2,85.1,
1617velv-ak-lcmpsc,9180,Phantom Wolves,2,10,164,70,5,SC,1.00,17.0,19.1,
1617velv-ak-lcmpsc,5394,TacoS,3,10,161,145,5,SC,1.00,30.5,31.5,
1617velv-ak-lcmpsc,4951,Dimondz Nutz and Boltz,4,8,185,110,5,F2,0.80,45.1,39.9,
1617velv-ak-lcmpsc,5215,MethodHeads,5,8,172,155,5,S1,0.80,40.4,41.7,
1617velv-ak-lcmpsc,10998,MechaLynx,6,8,171,135,5,F1,0.80,58.3,51.2,
1617velv-ak-lcmpsc,3492,Team Zip Ties,7,6,243,90,5,FC,0.60,34.0,32.5,
1617velv-ak-lcmpsc,9781,Gravity Check,8,6,185,110,5,,0.60,35.2,34.2,
1617velv-ak-lcmpsc,3208,Rocket 4.0,9,6,176,90,5,W1,0.60,45.4,40.7,
1617velv-ak-lcmpsc,6695,FrostTech,10,6,156,75,5,,0.60,1.6,8.2,
1617velv-ak-lcmpsc,10991,Eagles,11,6,141,65,5,,0.60,20.6,22.5,
1617velv-ak-lcmpsc,6112,Silver Wolves,12,4,216,70,5,,0.40,28.8,30.2,
1617velv-ak-lcmpsc,5247,Rock Paper Scissors,13,4,201,85,5,,0.40,9.8,15.2,
1617velv-ak-lcmpsc,10610,Mears Gears,14,4,169,85,5,,0.40,22.3,21.9,
1617velv-ak-lcmpsc,8539,Bazinga Bots,15,4,168,150,5,W2,0.40,26.6,29.0,
1617velv-ak-lcmpsc,5530,I 8 Sum Pi,16,4,166,60,5,S2,0.40,18.1,19.1,
1617velv-ak-lcmpsc,7388,StarBots,17,4,150,85,5,,0.40,10.4,16.2,
1617velv-ak-lcmpsc,4955,Dimond Engineering Per 4,18,4,150,60,5,S2,0.40,17.0,17.0,
1617velv-ak-lcmpsc,5664,Cyber Wolves,19,4,148,80,5,,0.40,19.5,19.0,
1617velv-ak-lcmpsc,4539,3 G's and Aden,20,4,130,65,5,,0.40,15.0,15.4,
1617velv-ak-lcmpsc,5532,Techno Wolves,21,2,193,56,5,,0.20,21.1,20.6,
1617velv-ak-lcmpsc,9019,Nuclear Wolves,22,2,150,80,5,S1,0.20,21.9,23.1,
1617velv-ak-lcmpsc,10513,Smart Metal,23,2,120,60,5,,0.20,13.6,13.7,
1617velv-ak-lcmpsc,4954,SPECTRE,24,0,155,40,5,,0.00,15.5,14.3,
1617velv-ak-lcmpsc,10502,Kuskokwim Surf Monsters,25,0,132,45,5,,0.00,-0.5,4.6,
