TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-or-cba1-Q-1,1,1,1,8153,7470,0,7497,11887,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,3,0,0,0,0,0,0,1,0,true,0,0,0,0,1,0,0,0,0,1,0,0,
1617velv-or-cba1-Q-2,1,1,2,7499,7474,0,6741,8096,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,1,0,0,0,0,0,0,0,1,false,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-or-cba1-Q-3,1,1,3,10530,6741,0,12041,10585,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,4,0,2,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-or-cba1-Q-4,1,1,4,7497,10585,0,8096,7499,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,0,0,1,0,0,0,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-or-cba1-Q-5,1,1,5,8153,10530,0,7474,7470,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,0,0,0,0,0,0,1,0,true,0,0,0,2,4,0,0,0,0,1,0,0,
1617velv-or-cba1-Q-6,1,1,6,12041,8096,0,11887,8153,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,0,0,0,0,0,1,0,1,0,true,0,0,0,1,1,0,0,0,0,1,0,1,
1617velv-or-cba1-Q-7,1,1,7,7474,12041,0,7470,7499,0,0,0,0,false,false,false,0,0,0,false,false,false,1,0,0,0,0,0,1,0,false,0,0,0,0,2,0,0,0,0,0,0,0,0,true,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-or-cba1-Q-8,1,1,8,11887,6741,0,10530,7497,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,3,0,0,0,0,0,1,0,0,false,0,0,0,0,1,0,0,0,1,0,0,0,
1617velv-or-cba1-Q-9,1,1,9,10585,7499,0,7474,8153,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,0,0,0,0,0,0,0,0,true,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-or-cba1-Q-10,1,1,10,7470,11887,0,10585,6741,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,2,0,0,0,0,0,0,0,0,false,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-or-cba1-Q-11,1,1,11,7497,8096,0,10530,12041,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,3,0,0,0,0,0,0,1,0,true,0,0,0,0,1,0,0,0,0,1,0,0,
1617velv-or-cba1-Q-12,1,1,12,8153,8096,0,7470,6741,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,0,0,0,0,0,0,0,0,false,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-or-cba1-Q-13,1,1,13,10585,7474,0,12041,7497,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,4,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,1,0,0,0,0,
1617velv-or-cba1-Q-14,1,1,14,7499,11887,0,10530,7474,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,4,0,2,0,0,0,0,0,
