TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-or-ha1-Q-1,Q-1,21-30 B,12216,11556,0,11703,12000,0,21,10,0,11,0,0,30,0,0,30,0,0,
1617velv-or-ha1-Q-2,Q-2,40-60 B,6712,11089,0,10339,7776,0,40,25,0,15,0,0,60,20,0,40,0,0,
1617velv-or-ha1-Q-3,Q-3,130-65 R,11778,10659,0,9357,7776,0,130,10,0,0,0,120,65,35,0,30,0,0,
1617velv-or-ha1-Q-4,Q-4,30-16 R,10339,9357,0,12000,11556,0,30,0,0,30,0,0,16,5,0,11,0,0,
1617velv-or-ha1-Q-5,Q-5,45-80 B,11703,11778,0,10659,11089,0,45,5,0,40,0,0,80,70,0,10,0,0,
1617velv-or-ha1-Q-6,Q-6,86-10 R,6712,11556,0,12216,11778,0,86,40,0,46,0,0,10,10,0,0,0,0,
1617velv-or-ha1-Q-7,Q-7,70-15 R,6712,10339,0,9357,11703,0,70,30,0,40,0,0,15,5,0,10,0,0,
1617velv-or-ha1-Q-8,Q-8,10-85 B,12000,12216,0,10659,7776,0,10,10,0,0,0,0,85,40,0,45,0,0,
1617velv-or-ha1-Q-9,Q-9,20-55 B,12000,9357,0,11089,12216,0,20,0,0,20,0,0,55,25,0,30,0,0,
1617velv-or-ha1-Q-10,Q-10,100-55 R,11089,11556,0,10659,6712,0,100,10,0,40,0,50,55,40,0,15,0,0,
1617velv-or-ha1-Q-11,Q-11,55-20 R,7776,11778,0,10339,11703,0,55,25,0,30,0,0,20,10,0,10,0,0,
1617velv-or-ha1-Q-12,Q-12,30-30 T,12000,10659,0,11778,6712,0,30,10,0,20,0,0,30,10,0,20,0,0,
1617velv-or-ha1-Q-13,Q-13,40-20 R,7776,11703,0,11556,9357,0,40,15,0,25,0,0,20,0,0,20,0,0,
1617velv-or-ha1-Q-14,Q-14,35-30 R,10339,11089,0,12216,10659,0,35,0,0,35,0,0,30,10,0,20,0,0,
