TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-or-ce2-Q-1,1,1,1,8151,6727,0,11847,8111,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,0,0,0,1,0,0,0,0,false,0,0,0,3,0,0,2,0,0,0,1,0,
1617velv-or-ce2-Q-2,1,1,2,11755,8243,0,6833,8023,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,3,0,0,0,0,1,0,0,0,true,1,0,0,0,1,0,0,0,0,0,0,1,
1617velv-or-ce2-Q-3,1,1,3,5627,8023,0,6833,6727,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,2,0,0,0,3,0,0,1,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-or-ce2-Q-4,1,1,4,11847,8243,0,5627,11755,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,2,0,0,0,0,2,0,1,0,0,0,0,false,2,0,0,0,4,0,0,0,0,0,1,0,
1617velv-or-ce2-Q-5,1,1,5,8111,6833,0,8151,8243,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,3,0,3,0,1,0,1,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,1,0,
1617velv-or-ce2-Q-6,1,1,6,8023,8151,0,5627,11847,0,0,0,0,false,false,false,0,0,0,false,false,false,1,1,0,1,0,0,1,0,true,1,0,0,0,2,0,0,0,0,1,0,0,0,false,2,0,0,0,0,0,0,1,0,0,0,1,
1617velv-or-ce2-Q-7,1,1,7,8111,11755,0,6727,5627,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,3,0,4,0,2,0,0,0,0,0,0,false,1,0,0,0,0,0,0,3,0,0,0,0,
1617velv-or-ce2-Q-8,1,1,8,11847,6727,0,8243,6833,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,0,0,3,0,0,0,0,0,false,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-or-ce2-Q-9,1,1,9,8023,11755,0,8111,8151,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,4,0,0,1,0,0,1,0,0,false,0,2,3,0,0,0,3,0,1,0,0,0,
1617velv-or-ce2-Q-10,1,1,10,5627,8151,0,11755,6727,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,2,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,3,0,0,3,0,0,0,0,
1617velv-or-ce2-Q-11,1,1,11,6833,11847,0,8023,8111,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,0,0,0,1,0,0,0,0,true,2,0,0,3,2,0,0,0,0,0,1,0,
1617velv-or-ce2-Q-12,1,1,12,8243,5627,0,8023,8151,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,1,0,0,0,0,0,0,0,0,0,false,1,0,0,0,0,0,0,0,0,0,0,0,
