TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,BTot,
1617velv-vaced2-Q-1,Q-1,25-30 B,9202,11422,0,6027,6481,0,25,30,
1617velv-vaced2-Q-2,Q-2,5-20 B,12017,5431,0,9882,12019,0,5,20,
1617velv-vaced2-Q-3,Q-3,25-30 B,11209,10306,0,8275,7090,0,25,30,
1617velv-vaced2-Q-4,Q-4,21-0 R,6158,10567,0,12012,9422,0,21,0,
1617velv-vaced2-Q-5,Q-5,0-0 T,11700,364,0,8910,3116,0,0,0,
1617velv-vaced2-Q-6,Q-6,50-45 R,3749,12019,0,4323,7844,0,50,45,
1617velv-vaced2-Q-7,Q-7,25-10 R,6481,7090,0,9422,3116,0,25,10,
1617velv-vaced2-Q-8,Q-8,45-0 R,11700,6158,0,6027,4323,0,45,0,
1617velv-vaced2-Q-9,Q-9,30-80 B,5431,12012,0,8275,7844,0,30,80,
1617velv-vaced2-Q-10,Q-10,40-0 R,11209,9202,0,364,12017,0,40,0,
1617velv-vaced2-Q-11,Q-11,37-17 R,10567,3749,0,11422,9882,0,37,17,
1617velv-vaced2-Q-12,Q-12,2-45 B,10306,4323,0,8910,6481,0,2,45,
1617velv-vaced2-Q-13,Q-13,50-0 R,11209,8275,0,3116,12019,0,50,0,
1617velv-vaced2-Q-14,Q-14,25-21 R,6027,7844,0,364,10567,0,25,21,
1617velv-vaced2-Q-15,Q-15,18-50 B,10306,9882,0,9202,12012,0,18,50,
1617velv-vaced2-Q-16,Q-16,23-35 B,8910,11422,0,6158,5431,0,23,35,
1617velv-vaced2-Q-17,Q-17,25-35 B,11700,7090,0,3749,12017,0,25,35,
1617velv-vaced2-Q-18,Q-18,30-0 R,9422,6027,0,5431,11209,0,30,0,
1617velv-vaced2-Q-19,Q-19,10-33 B,12012,3116,0,12017,11422,0,10,33,
1617velv-vaced2-Q-20,Q-20,25-35 B,8910,12019,0,10567,9202,0,25,35,
1617velv-vaced2-Q-21,Q-21,50-60 B,6158,6481,0,3749,8275,0,50,60,
1617velv-vaced2-Q-22,Q-22,45-1 R,9422,7844,0,10306,11700,0,45,1,
1617velv-vaced2-Q-23,Q-23,35-0 R,364,4323,0,7090,9882,0,35,0,
1617velv-vaced2-Q-24,Q-24,20-10 R,10567,6481,0,11209,11700,0,20,10,
1617velv-vaced2-Q-25,Q-25,40-7 R,11422,364,0,12019,10306,0,40,7,
1617velv-vaced2-Q-26,Q-26,10-60 B,3749,3116,0,5431,9202,0,10,60,
1617velv-vaced2-Q-27,Q-27,20-130 B,8275,9422,0,12017,4323,0,20,130,
1617velv-vaced2-Q-28,Q-28,35-65 B,6027,7090,0,8910,12012,0,35,65,
1617velv-vaced2-Q-29,Q-29,20-60 B,9882,7844,0,6158,11209,0,20,60,
1617velv-vaced2-SF-1-1,SF-1-1,35-30 R,3749,8275,6027,10567,7844,12017,35,30,
1617velv-vaced2-SF-2-1,SF-2-1,40-80 B,6481,6158,7090,9202,8910,4323,40,80,
1617velv-vaced2-SF-1-2,SF-1-2,80-30 R,3749,8275,6027,10567,7844,12017,80,30,
1617velv-vaced2-SF-2-2,SF-2-2,55-45 R,6481,6158,7090,9202,8910,4323,55,45,
1617velv-vaced2-SF-2-3,SF-2-3,40-55 B,6481,6158,7090,9202,8910,4323,40,55,
1617velv-vaced2-F-1,F-1,10-100 B,3749,8275,6027,9202,8910,4323,10,100,
1617velv-vaced2-F-2,F-2,40-70 B,3749,8275,6027,9202,8910,4323,40,70,
