TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-mica,7902,Da Cows,1,10,140,135,5,WC,
1617velv-mica,5289,Martians,2,10,90,116,5,W1,
1617velv-mica,10176,Robotex,3,10,85,135,5,SC,
1617velv-mica,5237,Loose Screws,4,8,153,90,5,S1,
1617velv-mica,7901,Bulldozers,5,8,123,116,5,FC,
1617velv-mica,11932,Tech Dogs,6,8,71,60,5,SC,
1617velv-mica,7255,STEAM Stingers,7,7,78,85,5,S1,
1617velv-mica,8579,Classical Engineers,8,7,73,70,5,S2,
1617velv-mica,7048,Purple Protons,9,6,185,95,5,F1,
1617velv-mica,8511,Gryphon Bots,10,6,108,135,5,,
1617velv-mica,10035,Robo Rangers,11,6,95,75,5,,
1617velv-mica,8753,The Eagles,12,6,60,70,5,S2,
1617velv-mica,9895,Robohills,13,6,41,90,5,,
1617velv-mica,7049,Omega Warriors,14,6,28,102,5,W2,
1617velv-mica,10611,MooTech,15,5,110,44,5,,
1617velv-mica,8492,Titanium Trojans,16,5,103,102,5,,
1617velv-mica,10262,Pioneer Pandas,17,4,162,85,5,,
1617velv-mica,7043,Golden Gears,18,4,148,100,5,,
1617velv-mica,10620,Pioneer Circuit Breakers,19,4,135,55,5,,
1617velv-mica,12085,ROMS Robotics 1,20,4,129,105,5,,
1617velv-mica,10477,Rapid Robots,21,4,125,90,5,,
1617velv-mica,11679,Titanium Trojans Too,22,4,122,55,5,,
1617velv-mica,7313,Eagle Robotics,23,4,121,76,5,,
1617velv-mica,11668,To Bee Determined,24,4,96,90,5,,
1617velv-mica,11759,ATA Inventors IV,25,4,93,62,5,,
1617velv-mica,9841,Liberty Lions,26,4,82,65,5,,
1617velv-mica,7325,Screaming Eagles,27,4,80,115,5,,
1617velv-mica,11769,Pioneer Robotics 3,28,4,37,90,5,,
1617velv-mica,7693,TECHNADOS,29,2,196,70,5,F2,
1617velv-mica,8603,The Fighting Gnomes,30,2,90,55,5,,
1617velv-mica,12111,ROMS Robotics 2,31,2,63,30,5,,
1617velv-mica,11933,Lock Jaw,32,2,38,40,5,,
1617velv-mica,9842,Fighting Lions,33,0,155,70,5,,
1617velv-mica,10425,A Flock of Nerds,34,0,65,50,5,,
