TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-miff,6155,MegaBots,1,10,175,106,5,SC,
1617velv-miff,10477,Rapid Robots,2,10,170,105,5,FC,
1617velv-miff,10474,Artificial Intellegence,3,8,145,90,5,SC,
1617velv-miff,9908,The Killer Coders,4,8,140,145,5,WC,
1617velv-miff,11870,West Bloomfield Veagle Vortex,5,8,130,75,5,F1,
1617velv-miff,11668,To Bee Determined,6,8,87,75,5,F2,
1617velv-miff,7255,STEAM Stingers,7,8,65,65,5,,
1617velv-miff,10108,N.I.T.,8,6,165,105,5,S1,
1617velv-miff,6225,Synergy,9,6,132,40,5,S2,
1617velv-miff,11679,Titanium Trojans Too,10,6,122,90,5,,
1617velv-miff,8487,Robo Toasters Orange,11,6,100,145,5,S1,
1617velv-miff,8377,Munger Mechanical Lions,12,6,95,94,5,,
1617velv-miff,11432,SAY Play Warriors 1,13,6,87,51,5,,
1617velv-miff,11305,Vallibots,14,6,76,75,5,,
1617velv-miff,10812,STEM-Bots,15,6,52,83,5,,
1617velv-miff,11176,Panthers,16,5,204,80,5,,
1617velv-miff,6294,Bionic Bots,17,5,190,60,5,S2,
1617velv-miff,11254,Robo Rhinos,18,5,180,65,5,,
1617velv-miff,11735,Robo Toasters Blue,19,5,176,80,5,W1,
1617velv-miff,11438,SAY Play Warriors 2,20,5,139,50,5,,
1617velv-miff,11749,Imagination Patriots,21,5,138,55,5,,
1617velv-miff,11276,Dream Machine,22,4,123,31,5,,
1617velv-miff,8753,The Eagles,23,4,117,40,5,,
1617velv-miff,11013,AHCS Cougars,24,4,74,95,5,,
1617velv-miff,8492,Titanium Trojans,25,3,140,80,5,W2,
1617velv-miff,10280,TechnoLions,26,3,127,70,5,,
1617velv-miff,11632,Dunkin' DoBots,27,3,105,95,5,,
1617velv-miff,11726,Hack 29th St.,28,3,99,40,5,,
1617velv-miff,9028,A.D.E.P.T.,29,3,95,106,5,,
1617velv-miff,8603,The Fighting Gnomes,30,2,120,30,5,,
1617velv-miff,11340,Indigo League,31,2,85,35,5,,
1617velv-miff,8376,Team TACO,32,1,140,60,5,,
1617velv-miff,9933,GBEMS - Blazin' Turtle,33,0,100,40,5,,
1617velv-miff,10210,Aztechs,34,0,71,31,5,,
